序号,区划层级,省份区划编码,地市区划编码,地市区划名称,区县区划编码,区县区划名称,机构层级,省份机构名称,地市机构编码,地市机构名称,区县机构编码,区县机构名称,网点机构编码,网点机构名称,主码,法定客户名称,子码,协议客户名称,业务关系码,业务关系名称,行业一级,行业二级,行业三级,客户等级,注册日期,客户经理编码,客户经理名称,首席客户经理编码,首席客户经理名称,团队编码,团队名称,统计期业务量_万件,统计期收入_万元,统计期重量_kg,对比期业务量_万件,对比期收入_万元,对比期重量_kg,col_38,col_39
1,420000,湖北省,420100,武汉市,420100,市直属,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43000307,武汉市寄递事业部本部,43000258,武汉市寄递事业部本部商企客户营销中心,43000258,武汉市寄递事业部本部商企客户营销中心,C0000000529444,中国邮政储蓄银行股份有限公司湖北省分行,91100507409984,湖北省分行-中国邮政储蓄银行股份有限公司武汉市二桥营业所,1100160130047,湖北省分行(中国邮政储蓄银行股份有限公司湖北省分行单证包),商企类,金融类,其他,钻石,2023-06-28,"04149230,04108662","邓君鑫,罗婧",4003356186,马丽,"04108662,04149230","罗婧,邓君鑫",0.0276,18.2264151084001,5520,5.7242,107.999564151,0
2,420000,湖北省,420100,武汉市,420100,市直属,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43000307,武汉市寄递事业部本部,43000258,武汉市寄递事业部本部商企客户营销中心,43000258,武汉市寄递事业部本部商企客户营销中心,C1103381454055,南京鸿牛科技有限公司,91101206872705,南京鸿牛-阳逻仓,1100246727257,南京鸿牛(极速鲜),商企类,生鲜特产,冷鲜类,,2026-06-24,"03917229,04235867","王良彬,胡栋",,,04235867,胡栋,0.0001,0.0003396226,1.618,0,0,0
3,420000,湖北省,420100,武汉市,420100,市直属,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43000307,武汉市寄递事业部本部,43000257,武汉市寄递事业部本部快包部,43000550,武汉市径河揽投部,C1100405930216,合肥乐一乐文化传媒有限公司,91100362743568,合肥乐一乐文化传媒有限公司,1100055019608,乐一乐(快递包裹),商企类,其他,其他,铂金,2020-06-18,"04244444,04297034","柯南星,刘文涛",,,,,0,0,0,0.0004,0.0060167041,0.86
4,420000,湖北省,420100,武汉市,420100,市直属,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43000307,武汉市寄递事业部本部,43000257,武汉市寄递事业部本部快包部,43000550,武汉市径河揽投部,C1101554105171,武汉市欧赛雅文服饰有限公司,91101055599387,武汉市欧赛雅文服饰有限公司,1100201659702,武汉市欧赛雅文服饰有限公司(电商标快),商企类,生鲜特产,其他类,铂金,2024-09-26,01613500,罗霄,,,,,0,0,0,0.1417,0.4214603708,1660.35
5,420000,湖北省,420100,武汉市,420100,市直属,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43000307,武汉市寄递事业部本部,43000257,武汉市寄递事业部本部快包部,43000551,武汉市天河北揽投部,C1100867966891,湖北菲寻塑业有限公司,91101121066504,湖北菲寻塑业有限公司-快递包裹,1100224084923,湖北菲寻塑业有限公司(快递包裹),商企类,生鲜特产,特产类,,2025-08-06,"04101564,04235889,04017737","冯一阳,戢杏娥,杨彬",4008060475,蒋思成,T42010020260410496,东山团队,0.1517,1.1607877264,7104.348,0,0,0
6,420000,湖北省,420100,武汉市,420100,市直属,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43000307,武汉市寄递事业部本部,43000257,武汉市寄递事业部本部快包部,43000551,武汉市天河北揽投部,C1103772437522,孝南区东山头洁康纸塑制品加工厂,91101108742689,孝南区东山头洁康纸塑制品加工厂,1100219700359,孝南区东山头洁康纸塑制品加工厂(标快+快包),商企类,生鲜特产,特产类,铂金,2025-06-09,"01605050,04235889,04017737","魏磊,戢杏娥,杨彬",4008060475,蒋思成,T42010020260410496,东山团队,0.7451,2.97131129719999,19950.19,0,0,0
7,420000,湖北省,420100,武汉市,420100,市直属,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43000307,武汉市寄递事业部本部,43000257,武汉市寄递事业部本部快包部,43000552,武汉市东山揽投部,C1100977503665,湖北瑞屹宠业科技有限公司,91100904430428,湖北瑞屹宠业科技有限公司,1100188584792,湖北瑞屹宠业科技有限公司(快递包裹、电商标快),商企类,生鲜特产,其他类,钻石,2024-03-21,"04101564,04235889,04017737","冯一阳,戢杏娥,杨彬",4008060475,蒋思成,T42010020260410496,东山团队,0.2717,1.9964905624,11058.902,0,0,0
8,420000,湖北省,420100,武汉市,420100,市直属,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43000307,武汉市寄递事业部本部,43000257,武汉市寄递事业部本部快包部,43000552,武汉市东山揽投部,C1101130395611,湖北书包包新材料科技有限公司,91101032377117,湖北书包包新材料科技有限公司-武汉仓,1100194019938,湖北书包包新材料科技有限公司(快递包裹、电商标快),商企类,生鲜特产,特产类,钻石,2024-06-17,"04101564,04235889,04017737","冯一阳,戢杏娥,杨彬",4008060475,蒋思成,T42010020260410496,东山团队,0.0008,0.0026037736,10.8,0,0,0
9,420000,湖北省,420100,武汉市,420100,市直属,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43000307,武汉市寄递事业部本部,43000257,武汉市寄递事业部本部快包部,43000552,武汉市东山揽投部,C1101146705871,深圳市微尔供应链管理有限公司,91100936353382,深圳市微尔供应链管理有限公司,1100161164269,深圳市微尔供应链管理有限公司(寄递),商企类,生鲜特产,其他类,钻石,2023-07-05,"03883930,04235889,04017737","宋紫昱,戢杏娥,杨彬",4008060475,蒋思成,T42010020260410496,东山团队,2.0669,8.51054714669999,62545.224,0,0,0
10,420000,湖北省,420100,武汉市,420100,市直属,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43000307,武汉市寄递事业部本部,43000257,武汉市寄递事业部本部快包部,43000553,武汉市天河西揽投部,C1100954268848,湖北烈焰电子商务有限公司,91100890446430,湖北烈焰电子商务有限公司,1100160099951,湖北烈焰电子商务有限公司(快递包裹),商企类,生鲜特产,其他类,钻石,2023-06-28,"01613532,04235889,04017737","黄文娟,戢杏娥,杨彬",4008060475,蒋思成,T42010020260410496,东山团队,0.004,-0.1329151161,-804.465,0,0,0
11,420000,湖北省,420100,武汉市,420100,市直属,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43001508,武汉市银墩路揽投部,-1,直属,43001508,武汉市银墩路揽投部,C1100509593777,北京明苑风华文化传媒有限公司,91101065162485,北京明苑风华文化传媒有限公司-武汉仓储,1100205963175,北京明苑风华文化传媒有限公司(快递包裹),商企类,生鲜特产,特产类,钻石,2024-11-19,"03405532,04017744","赵伟领,胡辉映",5012888164,凌琳,"03405532,04017744","赵伟领,胡辉映",0.0466,0.2436462407,1145.471,0,0,0
12,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43000437,武汉市江岸金银潭揽投部,43000437,武汉市江岸金银潭揽投部,C0000000531649,康稳移动供电设备（武汉）有限公司,81100410034600,康稳移动供电设备（武汉）有限公司-康稳移动供电设备（武汉）有限公司2020,1100066084556,康稳移动供电设备（武汉）有限公司(特快),商企类,生产加工制造业,大型设备、机电设备、重工业,普通,2020-09-17,03883930,宋紫昱,,,,,0,0,0,0.0003,0.004043751,0.26
14,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43000437,武汉市江岸金银潭揽投部,43000437,武汉市江岸金银潭揽投部,C1100202301707,武汉梦想特区实业发展有限公司,91100202318176,武汉梦想特区实业发展有限公司,1100146756236,武汉梦想特区实业发展有限公司(国内EMS),商企类,商业服务类,行政寄递,普通,2023-02-17,01611052,郭蕾,,,01611052,郭蕾,0.0013,0.0162169813,0.91,0.0007,0.0068700103,0.62
15,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43000437,武汉市江岸金银潭揽投部,43000437,武汉市江岸金银潭揽投部,C1100416184332,武汉加贝消防工程有限公司,91101058120773,武汉加贝消防工程有限公司-武汉加贝消防工程有限公司,1100202924753,武汉加贝消防工程有限公司(武汉加贝消防工程有限公司),商企类,其他,其他,普通,2024-10-11,04274759,荆梦,,,04274759,荆梦,0.001,0.0193396229,1.44,0.0012,0.0195416303,3.9
16,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43000437,武汉市江岸金银潭揽投部,43000437,武汉市江岸金银潭揽投部,C1100689136959,湖北诺肯药业有限公司,91100641478114,湖北诺肯药业有限公司,1100152678843,湖北诺肯药业有限公司(特快),商企类,生鲜特产,特产类,黄金,2023-05-04,03883930,宋紫昱,,,03883930,宋紫昱,0.0566,0.3465754734,1224.921,0.1269,0.7411275548,2521.315
19,420000,湖北省,420100,武汉市,420102,江岸区,43000600,湖北省寄递事业部,43001800,武汉市寄递事业部,43006100,武汉市江岸区寄递事业部,43000437,武汉市江岸金银潭揽投部,43000437,武汉市江岸金银潭揽投部,C1101164924582,湖北云速通信息技术有限公司,91100945121868,湖北云速通信息技术有限公司,1100166202234,湖北云速通信息技术有限公司,商企类,IT通讯类,IT服务类,普通,2023-08-07,04065524,吴松,4009535495,张赵文,,,0,0,0,0.0001,0.0009433962,0.06
